ts,x,y,theta,step
1769360945.846897,5.6000000000000005,7.2,-2.9961400740491975,1
1769360946.9390397,5.0,7.0,-3.0081120863997417,1
1769360948.1177874,4.2,6.800000000000001,-2.998578137125914,1
1769360949.2310746,3.8000000000000003,6.800000000000001,-3.0934825808082036,1
1769360951.918063,3.8000000000000003,6.0,-1.2838098149777557,1
1769360953.0306208,4.2,5.4,-1.3228078218355606,1
1769360955.2731445,3.8000000000000003,5.2,-2.8786466520502985,1
1769360956.274018,2.4000000000000004,5.2,-2.8762207718738257,1
1769360957.3193195,1.6,5.0,-2.8292938633177784,1
1769360958.3651352,1.0,4.800000000000001,-2.917147306357015,1
1769360960.8543084,1.2000000000000002,4.2,-1.2744368560771049,1
1769360961.9216628,1.6,3.4000000000000004,-1.3414782033308426,1
1769360964.542318,2.2,3.4000000000000004,-0.21911495558984884,1
1769360965.543267,3.0,3.2,-0.33121448924253327,1
1769360966.5436902,3.6,3.0,-0.23949859898313441,1
1769360968.6315613,4.2,3.4000000000000004,0.3475051087903971,1
1769360969.6102915,5.0,3.8000000000000003,0.4370039247210271,1
1769360971.5189323,5.800000000000001,3.4000000000000004,-0.20249788156116244,1
1769360972.5643413,6.6000000000000005,3.4000000000000004,-0.0714039195007512,1
1769360974.806838,6.800000000000001,2.6,-1.1977553718985554,1
1769360975.8520963,7.0,2.0,-1.2499094952208525,1
1769360976.8535023,7.2,1.4000000000000001,-1.1765660688012718,1
