ts,x,y,theta,step
1769359787.532549,5.801505663173781,7.318393433367723,-3.118010630878926,1
1769359788.964878,5.16671978390441,7.280761321536924,-3.1239289333912765,1
1769359790.3550284,4.53167479382075,7.0956368769928515,-3.0983044947165044,1
1769359791.477512,3.761913504741881,6.969486806054575,2.958785779385268,1
1769359794.2144253,3.8245504508639065,6.2306301574978,-1.4469570538961198,1
1769359795.4040449,3.8801992254675186,5.517328183799252,-1.5274778545200318,1
1769359797.4787436,3.0668852628286576,5.504636757177783,-3.0551749289402133,1
1769359798.5137358,2.322031221736792,5.496953582003204,-3.1166433947393672,1
1769359799.6608286,1.584484687795221,5.432518088047706,-3.0591308440798564,1
1769359800.7387955,0.9535358414682181,5.45851721776236,3.1223386548321836,1
1769359803.1650152,1.0198071138282994,4.732060457741769,-1.4986153193734122,1
1769359804.2430773,0.9707860927486446,3.98870997925379,-1.6613872634994165,1
1769359807.0884814,1.6227629272533712,3.644077886431314,-0.5209791007628852,1
1769359808.2348468,2.210541315786597,3.228040327913255,-0.6492057710395326,1
1769359809.3130465,2.9508911359212875,3.0355379169117747,-0.5648533795549548,1
1769359811.297793,3.69809328398852,3.0595381493532967,0.01578447388434553,1
1769359812.4870286,4.440451319324268,3.145937738238607,0.11234243788716144,1
1769359814.5584953,5.328433112156691,2.9215121727317888,-0.5086835327639471,1
1769359815.6604695,6.276785790719424,2.6465050265502024,-0.38391550475698183,1
1769359818.0041234,6.28401747783513,1.9021828193740298,-1.658758934764369,1
1769359819.176682,6.218767529859461,1.1767340565615707,-1.70693037738984,1
1769359820.2361546,6.158165899580574,0.46518536467114713,-1.6719971690488735,1
