Starting Program 3 (FAST)...
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 4.0% | Temp: 41.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.4% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.4% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.3% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 23.3% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 33.3% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 37.3% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 38.7% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 40.6% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 38.6% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 38.6% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 42.6% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 46.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 57.4% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 69.4% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 79.4% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 91.4% | Temp: 42.4°C | Status: CRITICAL: CPU OVERLOAD!
FAST : WINDOW SIZE: [5] Load: 100.0% | Temp: 42.4°C | Status: CRITICAL: CPU OVERLOAD!
FAST : WINDOW SIZE: [5] Load: 96.7% | Temp: 42.8°C | Status: CRITICAL: CPU OVERLOAD!
FAST : WINDOW SIZE: [5] Load: 84.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 72.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 57.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 45.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 34.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 34.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 31.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 31.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 31.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 31.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 27.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 30.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 33.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 33.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 33.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 37.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 37.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 37.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 39.0% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 42.0% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 44.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 44.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 41.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 39.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 35.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 25.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 21.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 21.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 19.0% | Temp: 41.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 19.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 18.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 23.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 26.6% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 29.6% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 25.6% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 29.6% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 24.6% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 22.7% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 22.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 19.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 23.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 23.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 28.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 25.7% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 24.7% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 20.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 18.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 16.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 17.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 25.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 29.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 33.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 33.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 36.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 33.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 37.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 33.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 33.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 25.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 20.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.3% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.3% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.3% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.3% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 18.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 30.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 46.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 60.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 72.0% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 78.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 82.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 71.7% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 66.4% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 55.4% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 46.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 30.1% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 31.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 23.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 24.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 23.3% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 24.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 17.3% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 17.3% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 21.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 26.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 28.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 29.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 32.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 28.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 27.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 21.0% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 21.0% | Temp: 43.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 19.7% | Temp: 43.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 15.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 16.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 16.7% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 15.7% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.0% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 21.3% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 24.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 25.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 31.7% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 33.3% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 23.3% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 16.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 19.7% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 18.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 19.7% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 19.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 23.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 15.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 4.0% | Temp: 41.9°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 4.0% | Temp: 42.8°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 0.0% | Temp: 42.8°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 5.0% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.0% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 23.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 28.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 32.0% | Temp: 43.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 27.0% | Temp: 43.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 23.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 17.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 16.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 4.0% | Temp: 41.9°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 4.0% | Temp: 42.8°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 41.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 0.0% | Temp: 42.8°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 4.0% | Temp: 42.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 42.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 42.8°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 43.3°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 42.4°C | Status: OK
