Program 4 Listening (Sampling ~33% of data)...
SAMPLED : WINDOW SIZE: [50] Load: 7.1% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.7% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.1% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.9% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.2% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.8% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.8% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.8% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.8% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.1% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.6% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.9% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.3% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.0% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.3% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.0% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.0% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.9% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.3% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.3% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.3% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.7% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.4% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.4% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.4% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.7% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.7% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.4% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.4% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.0% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.0% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.0% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.6% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.9% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.5% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.5% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.4% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.8% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.8% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.0% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.0% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.0% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.6% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.2% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.8% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.2% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.2% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.2% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.6% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.0% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.7% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.0% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.7% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.7% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.3% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.3% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.9% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.9% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.9% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.3% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.3% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.4% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.0% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.4% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.1% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.7% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.3% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.3% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.3% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.0% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.4% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.1% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.1% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.8% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.8% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.2% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.5% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.9% | Temp: 39.9°C | Status: OK
