Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 9.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.3% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.7% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.8% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.8% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.8% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 39.9°C | Status: OK
