Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.0% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.2% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.2% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.2% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.8% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.8% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 4.9% | Temp: 40.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SLOW : WINDOW SIZE: [50] Load: 4.9% | Temp: 40.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.2% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.2% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.0% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.0% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.0% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.0% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.0% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 40.4°C | Status: OK
